Membership No  Date Joined  Active  
    38041      2017-11-16   no    
    36770      2017-11-6    no    
    50555      2020-6-7     no    
    84691      2016-2-5     no    
    98457      2015-6-5     no    
    31645      2020-7-7     no    
    96229      2019-3-4     no    
    44809      2016-6-4     no    
    90193      2018-8-25    no    
    38583      2015-4-16    no    
    90417      2015-12-11   no    
    75082      2016-9-17    no    
    36910      2015-3-4     no    
    40487      2015-6-17    no    
    35938      2020-3-9     no    
    38022      2016-12-1    no    
    61805      2015-7-25    no    
